Date,Name,Meal,Calories
2025-10-01,Rohit,Breakfast,450.0
2025-10-01,Rohit,Lunch,700.0
2025-10-01,Rohit,Dinner,600.0
2025-10-02,Rohit,Breakfast,400.0
2025-10-02,Rohit,Lunch,700.0
2025-10-02,Rohit,Dinner,650.0
2025-10-03,Rohit,Breakfast,420.0
2025-10-03,Rohit,Lunch,750.0
2025-10-03,Rohit,Dinner,630.0
2025-10-04,Rohit,Breakfast,430.0
2025-10-04,Rohit,Lunch,720.0
2025-10-04,Rohit,Dinner,610.0
2025-10-05,Rohit,Breakfast,410.0
2025-10-05,Rohit,Lunch,680.0
2025-10-05,Rohit,Dinner,640.0
2025-10-06,Rohit,Breakfast,400.0
2025-10-06,Rohit,Lunch,710.0
2025-10-06,Rohit,Dinner,650.0
2025-10-07,Rohit,Breakfast,440.0
2025-10-07,Rohit,Lunch,730.0
2025-10-07,Rohit,Dinner,620.0
2025-10-08,Rohit,Breakfast,430.0
2025-10-08,Rohit,Lunch,700.0
2025-10-08,Rohit,Dinner,660.0
2025-10-09,Rohit,Breakfast,420.0
2025-10-09,Rohit,Lunch,690.0
2025-10-09,Rohit,Dinner,640.0
2025-10-10,Rohit,Breakfast,410.0
2025-10-10,Rohit,Lunch,710.0
2025-10-10,Rohit,Dinner,650.0
2025-10-11,Rohit,Breakfast,400.0
2025-10-11,Rohit,Lunch,720.0
2025-10-11,Rohit,Dinner,630.0
2025-10-12,Rohit,Breakfast,430.0
2025-10-12,Rohit,Lunch,740.0
2025-10-12,Rohit,Dinner,650.0
2025-10-13,Rohit,Breakfast,420.0
2025-10-13,Rohit,Lunch,700.0
2025-10-13,Rohit,Dinner,640.0
2025-10-14,Rohit,Breakfast,410.0
2025-10-14,Rohit,Lunch,710.0
2025-10-14,Rohit,Dinner,620.0
2025-10-15,Rohit,Breakfast,430.0
2025-10-15,Rohit,Lunch,730.0
2025-10-15,Rohit,Dinner,650.0
2025-10-16,Rohit,Breakfast,420.0
2025-10-16,Rohit,Lunch,720.0
2025-10-16,Rohit,Dinner,640.0
2025-10-17,Rohit,Breakfast,400.0
2025-10-17,Rohit,Lunch,700.0
2025-10-17,Rohit,Dinner,630.0
2025-10-18,Rohit,Breakfast,410.0
2025-10-18,Rohit,Lunch,710.0
2025-10-18,Rohit,Dinner,650.0
2025-10-19,Rohit,Breakfast,420.0
2025-10-19,Rohit,Lunch,720.0
2025-10-19,Rohit,Dinner,640.0
2025-10-20,Rohit,Breakfast,430.0
2025-10-20,Rohit,Lunch,730.0
2025-10-20,Rohit,Dinner,660.0
2025-10-21,Rohit,Breakfast,400.0
2025-10-21,Rohit,Lunch,700.0
2025-10-21,Rohit,Dinner,650.0
2025-10-22,Rohit,Breakfast,410.0
2025-10-22,Rohit,Lunch,720.0
2025-10-22,Rohit,Dinner,640.0
2025-10-23,Rohit,Breakfast,420.0
2025-10-23,Rohit,Lunch,710.0
2025-10-23,Rohit,Dinner,630.0
2025-10-24,Rohit,Breakfast,430.0
2025-10-24,Rohit,Lunch,730.0
2025-10-24,Rohit,Dinner,650.0
2025-10-25,Rohit,Breakfast,400.0
2025-10-25,Rohit,Lunch,700.0
2025-10-25,Rohit,Dinner,640.0
2025-10-26,Rohit,Breakfast,410.0
2025-10-26,Rohit,Lunch,720.0
2025-10-26,Rohit,Dinner,650.0
2025-10-27,Rohit,Breakfast,420.0
2025-10-27,Rohit,Lunch,710.0
2025-10-27,Rohit,Dinner,630.0
2025-10-28,Rohit,Breakfast,430.0
2025-10-28,Rohit,Lunch,730.0
2025-10-28,Rohit,Dinner,650.0
2025-10-29,Rohit,Breakfast,400.0
2025-10-29,Rohit,Lunch,700.0
2025-10-29,Rohit,Dinner,640.0
2025-10-30,Rohit,Breakfast,410.0
2025-10-30,Rohit,Lunch,720.0
2025-10-30,Rohit,Dinner,650.0
2025-10-31,Rohit,Breakfast,420.0
2025-10-31,Rohit,Lunch,710.0
2025-10-31,Rohit,Dinner,630.0
